77399,Sigurd| Viking,2.79,07/10/17,Bones
77400,Durgam Deepmug| Dwarf Hero,2.79,07/10/17,Bones
77401,Andras| Evil Warrior,2.79,07/10/17,Bones
77402,Pack Donkey,2.49,07/10/17,Bones
77403,Dingo| Halfling Rogue,2.49,07/10/17,Bones
77404,Valandil| Wizard,2.79,08/07/17,Bones
77405,Aeris| Female Elf Ranger,2.99,08/07/17,Bones
77406,Boris Mingla| Evil Warlord,2.99,08/07/17,Bones
77407,Death Dog,3.49,08/07/17,Bones
77408,Athak| Undead Knight,2.99,08/07/17,Bones
77409,Fiara| Elf Heroine,2.49,08/07/17,Bones
77410,Foo Dog,3.79,08/07/17,Bones
77411,Eredain| Mercenary Wizard,2.49,08/07/17,Bones
77412,Lendil Blackroot| Wizard,2.79,08/07/17,Bones
77413,Margara| Dwarf Shaman,2.79,08/07/17,Bones
77414,Halbarad| Cleric,2.79,08/07/17,Bones
77416,Formorian Giant,3.99,08/07/17,Bones
77417,Ivar| Dwarf Priest,2.49,08/07/17,Bones
77418,Xiao Liu| Female Monk,2.49,08/07/17,Bones
77419,Balthon| Evil Cleric,2.49,08/07/17,Bones
77420,Aundine| Dark Elf Warrior,2.49,08/07/17,Bones
77421,Jade Tiger| Monk,2.49,08/07/17,Bones
77422,War Dog,2.79,08/07/17,Bones
77423,Sir Malcolm| Templar Lightbringer,2.99,08/07/17,Bones
77424,Wraith,2.99,08/07/17,Bones
77425,Lizardman Archer,2.79,08/07/17,Bones
77426,Lizardman w/ Club and Shield,2.79,08/07/17,Bones
77427,Dungeon Vermin  - Centipede (2),2.49,08/07/17,Bones
77428,Dungeon Vermin  - Tick (2),2.49,08/07/17,Bones
77429,Orc Grunt,2.79,09/04/17,Bones
77430,Orc Slayer (Axe & Shield),2.79,09/04/17,Bones
77431,Orc Chopper (2H Axe),2.79,09/04/17,Bones
77432,Orc Slicer (Scimitar & Shield),2.79,09/04/17,Bones
77433,Yeti Shaman,3.49,09/04/17,Bones
77434,Yeti Chieftain,3.49,07/09/18,Bones
77435,Yeti Warrior,3.49,09/04/17,Bones
77436,Yeti Shredder,3.49,09/04/17,Bones
77440,Masumi| Demon Hunter,2.99,10/02/17,Bones
77441,Ostarzha| Elf Cleric,2.49,10/02/17,Bones
77442,Torture Equipment 1,5.79,07/09/18,Bones
77443,Torture Equipment 2,5.79,07/09/18,Bones
77444,Goblin Warriors (6),4.99,10/02/17,Bones
77445,Goblin Skirmishers (6),4.99,10/02/17,Bones
77446,Werebear,3.99,10/02/17,Bones
77447,Werecrocodile,3.99,10/02/17,Bones
77448,Werebat,3.99,06/04/18,Bones
77449,Invisible Rogue,2.99,11/06/17,Bones
77450,Invisible Wizard,2.99,11/06/17,Bones
77451,Invisible Cleric,2.99,11/06/17,Bones
77452,Invisible Ranger,2.99,11/06/17,Bones
77453,Invisible Warrior,2.99,11/06/17,Bones
77454,Ogre Clubber,3.49,11/06/17,Bones
77455,Ogre Smasher,3.49,11/06/17,Bones
77456,Ogre Guard,3.49,11/06/17,Bones
77459,Elven Blacksmith,2.99,11/06/17,Bones
77460,Dwarf Butcher,2.99,11/06/17,Bones
77461,Dwarf Brewer,2.99,11/06/17,Bones
77462,Halfling Cook,2.79,12/11/17,Bones
77463,Weregorilla,3.79,06/04/18,Bones
77464,Werewolf,3.79,12/11/17,Bones
77467,Rheagar| Male Fighter,2.79,12/11/17,Bones
77468,Christina| Female Cleric,2.79,12/11/17,Bones
77469,Brand Oathblood| Barbarian,2.79,09/04/17,Bones
77470,Elthin Bluesteel| Gunslinger,2.79,12/11/17,Bones
77471,Tengu (3),7.99,12/11/17,Bones
77472,Rogaku| Oni,4.79,12/11/17,Bones
77473,Kogo| Male Kitsune,2.79,12/11/17,Bones
77474,Dijoro| Female Kitsune,2.79,12/11/17,Bones
77476,Hobgoblin Warriors (2),5.49,12/11/17,Bones
77477,Hobgoblin Veterans (2),5.49,12/11/17,Bones
77478,King Axehelm Of Kragmarr,2.79,12/11/17,Bones
77479,Klaus Copperthumb| Dwarf Thief,2.79,12/11/17,Bones
77480,Durok| Dwarf Ranger,2.79,12/11/17,Bones
77481,Gwyddis| Dwarf Valkyrie,2.79,12/11/17,Bones
77482,Hagar| Dwarven Hero,2.79,12/11/17,Bones
77484,Mrs. Bones,2.99,12/11/17,Bones
77485,Mr. Bones & Buzzy,5.99,12/11/17,Bones
77486,Female Oni,3.29,12/11/17,Bones
77487,Nazeera Bloodraven,2.99,12/11/17,Bones
77488,Skara| Female Skoli,2.79,12/11/17,Bones
77489,Bregan| Valkyrie,2.79,12/11/17,Bones
77490,Mara Frostblade| Antipaladin,2.79,12/11/17,Bones
77491,Sophie the Sage| Bones 3 Kickstarter,3.29,12/11/17,Bones
77492,Behir,6.79,01/15/18,Bones
77493,Brain In a Jar,3.49,01/15/18,Bones
77494,Dire Bear,3.99,01/15/18,Bones
77495,Saproling Warrior,2.49,01/15/18,Bones
77496,Eilluvasheth| Succubus Queen,2.99,01/15/18,Bones
77497,Gremlins (4),3.99,01/15/18,Bones
77498,Werearmadillo,4.99,01/15/18,Bones
77499,Gutrags| Stitch Golem,4.99,01/15/18,Bones
